ft,at,sl,med,lanes,terrain,capacity
PrArterial,Suburban,50,Restrictive,1,level,1080
MinArterial,Suburban,50,Restrictive,1,level,900
Collector,Suburban,50,Restrictive,1,level,850
Local,Suburban,50,Restrictive,1,level,800
Freeway,Rural,50,Restrictive,1,level,4145
MLHighway,Rural,50,Restrictive,1,level,3600
TLHighway,Rural,50,Restrictive,1,level,1249
PrArterial,Rural,50,Restrictive,1,level,1080
MinArterial,Rural,50,Restrictive,1,level,900
Collector,Rural,50,Restrictive,1,level,850
Local,Rural,50,Restrictive,1,level,800
Freeway,Urban,55,Restrictive,1,level,4262
MLHighway,Urban,55,Restrictive,1,level,3512
TLHighway,Urban,55,Restrictive,1,level,1249
PrArterial,Urban,55,Restrictive,1,level,1260
MinArterial,Urban,55,Restrictive,1,level,1080
Collector,Urban,55,Restrictive,1,level,750
Local,Urban,55,Restrictive,1,level,700
Freeway,Suburban,55,Restrictive,1,level,4203
MLHighway,Suburban,55,Restrictive,1,level,3635
TLHighway,Suburban,55,Restrictive,1,level,1249
PrArterial,Suburban,55,Restrictive,1,level,1080
MinArterial,Suburban,55,Restrictive,1,level,900
Collector,Suburban,55,Restrictive,1,level,850
Local,Suburban,55,Restrictive,1,level,800
Freeway,Rural,55,Restrictive,1,level,4145
MLHighway,Rural,55,Restrictive,1,level,3771
TLHighway,Rural,55,Restrictive,1,level,1249
PrArterial,Rural,55,Restrictive,1,level,1080
MinArterial,Rural,55,Restrictive,1,level,900
Collector,Rural,55,Restrictive,1,level,850
Local,Rural,55,Restrictive,1,level,800
Freeway,Urban,60,Restrictive,1,level,4262
MLHighway,Urban,60,Restrictive,1,level,3688
TLHighway,Urban,60,Restrictive,1,level,1249
PrArterial,Urban,60,Restrictive,1,level,1260
MinArterial,Urban,60,Restrictive,1,level,1080
Collector,Urban,60,Restrictive,1,level,750
Local,Urban,60,Restrictive,1,level,700
Freeway,Suburban,60,Restrictive,1,level,4203
MLHighway,Suburban,60,Restrictive,1,level,3808
TLHighway,Suburban,60,Restrictive,1,level,1249
PrArterial,Suburban,60,Restrictive,1,level,1080
MinArterial,Suburban,60,Restrictive,1,level,900
Collector,Suburban,60,Restrictive,1,level,850
Local,Suburban,60,Restrictive,1,level,800
Freeway,Rural,60,Restrictive,1,level,4145
MLHighway,Rural,60,Restrictive,1,level,3771
TLHighway,Rural,60,Restrictive,1,level,1249
PrArterial,Rural,60,Restrictive,1,level,1080
MinArterial,Rural,60,Restrictive,1,level,900
Collector,Rural,60,Restrictive,1,level,850
Local,Rural,60,Restrictive,1,level,800
Freeway,Urban,65,Restrictive,1,level,4262
MLHighway,Urban,65,Restrictive,1,level,3688
TLHighway,Urban,65,Restrictive,1,level,1249
PrArterial,Urban,65,Restrictive,1,level,1260
MinArterial,Urban,65,Restrictive,1,level,1080
Collector,Urban,65,Restrictive,1,level,750
Local,Urban,65,Restrictive,1,level,700
Freeway,Suburban,65,Restrictive,1,level,4203
MLHighway,Suburban,65,Restrictive,1,level,3808
TLHighway,Suburban,65,Restrictive,1,level,1249
PrArterial,Suburban,65,Restrictive,1,level,1080
MinArterial,Suburban,65,Restrictive,1,level,900
Collector,Suburban,65,Restrictive,1,level,850
Local,Suburban,65,Restrictive,1,level,800
Freeway,Rural,65,Restrictive,1,level,4145
MLHighway,Rural,65,Restrictive,1,level,3771
TLHighway,Rural,65,Restrictive,1,level,1249
PrArterial,Rural,65,Restrictive,1,level,1080
MinArterial,Rural,65,Restrictive,1,level,900
Collector,Rural,65,Restrictive,1,level,850
Local,Rural,65,Restrictive,1,level,800
Freeway,Urban,25,NonRestrictive,1,level,4262
MLHighway,Urban,25,NonRestrictive,1,level,3337
TLHighway,Urban,25,NonRestrictive,1,level,1249
PrArterial,Urban,25,NonRestrictive,1,level,1260
MinArterial,Urban,25,NonRestrictive,1,level,1080
Collector,Urban,25,NonRestrictive,1,level,750
Local,Urban,25,NonRestrictive,1,level,700
Freeway,Suburban,25,NonRestrictive,1,level,4203
MLHighway,Suburban,25,NonRestrictive,1,level,3288
TLHighway,Suburban,25,NonRestrictive,1,level,1249
PrArterial,Suburban,25,NonRestrictive,1,level,1080
MinArterial,Suburban,25,NonRestrictive,1,level,900
Collector,Suburban,25,NonRestrictive,1,level,850
Local,Suburban,25,NonRestrictive,1,level,800
Freeway,Rural,25,NonRestrictive,1,level,4145
MLHighway,Rural,25,NonRestrictive,1,level,3429
TLHighway,Rural,25,NonRestrictive,1,level,1249
PrArterial,Rural,25,NonRestrictive,1,level,1080
MinArterial,Rural,25,NonRestrictive,1,level,900
Collector,Rural,25,NonRestrictive,1,level,850
Local,Rural,25,NonRestrictive,1,level,800
Freeway,Urban,30,NonRestrictive,1,level,4262
MLHighway,Urban,30,NonRestrictive,1,level,3337
TLHighway,Urban,30,NonRestrictive,1,level,1249
PrArterial,Urban,30,NonRestrictive,1,level,1260
MinArterial,Urban,30,NonRestrictive,1,level,1080
Collector,Urban,30,NonRestrictive,1,level,750
Local,Urban,30,NonRestrictive,1,level,700
Freeway,Suburban,30,NonRestrictive,1,level,4203
MLHighway,Suburban,30,NonRestrictive,1,level,3288
TLHighway,Suburban,30,NonRestrictive,1,level,1249
PrArterial,Suburban,30,NonRestrictive,1,level,1080
MinArterial,Suburban,30,NonRestrictive,1,level,900
Collector,Suburban,30,NonRestrictive,1,level,850
Local,Suburban,30,NonRestrictive,1,level,800
Freeway,Rural,30,NonRestrictive,1,level,4145
MLHighway,Rural,30,NonRestrictive,1,level,3429
TLHighway,Rural,30,NonRestrictive,1,level,1249
PrArterial,Rural,30,NonRestrictive,1,level,1080
MinArterial,Rural,30,NonRestrictive,1,level,900
Collector,Rural,30,NonRestrictive,1,level,850
Local,Rural,30,NonRestrictive,1,level,800
Freeway,Urban,35,NonRestrictive,1,level,4262
MLHighway,Urban,35,NonRestrictive,1,level,3337
TLHighway,Urban,35,NonRestrictive,1,level,1249
PrArterial,Urban,35,NonRestrictive,1,level,1260
MinArterial,Urban,35,NonRestrictive,1,level,1080
Collector,Urban,35,NonRestrictive,1,level,750
Local,Urban,35,NonRestrictive,1,level,700
Freeway,Suburban,35,NonRestrictive,1,level,4203
MLHighway,Suburban,35,NonRestrictive,1,level,3288
TLHighway,Suburban,35,NonRestrictive,1,level,1249
PrArterial,Suburban,35,NonRestrictive,1,level,1080
MinArterial,Suburban,35,NonRestrictive,1,level,900
Collector,Suburban,35,NonRestrictive,1,level,850
Local,Suburban,35,NonRestrictive,1,level,800
Freeway,Rural,35,NonRestrictive,1,level,4145
MLHighway,Rural,35,NonRestrictive,1,level,3429
TLHighway,Rural,35,NonRestrictive,1,level,1249
PrArterial,Rural,35,NonRestrictive,1,level,1080
MinArterial,Rural,35,NonRestrictive,1,level,900
Collector,Rural,35,NonRestrictive,1,level,850
Local,Rural,35,NonRestrictive,1,level,800
Freeway,Urban,40,NonRestrictive,1,level,4262
MLHighway,Urban,40,NonRestrictive,1,level,3337
TLHighway,Urban,40,NonRestrictive,1,level,1249
PrArterial,Urban,40,NonRestrictive,1,level,1260
MinArterial,Urban,40,NonRestrictive,1,level,1080
Collector,Urban,40,NonRestrictive,1,level,750
Local,Urban,40,NonRestrictive,1,level,700
Freeway,Suburban,40,NonRestrictive,1,level,4203
MLHighway,Suburban,40,NonRestrictive,1,level,3288
TLHighway,Suburban,40,NonRestrictive,1,level,1249
PrArterial,Suburban,40,NonRestrictive,1,level,1080
MinArterial,Suburban,40,NonRestrictive,1,level,900
